average-price,timestamp
45140.5046032238,2022-04-01T09:00:00Z
45157,2022-04-01T09:00:00Z
45113.2808923918,2022-04-01T09:01:00Z
45119.1666666667,2022-04-01T09:01:00Z
45123.2568811998,2022-04-01T09:02:00Z
45124.9480769231,2022-04-01T09:02:00Z
45134.5500549414,2022-04-01T09:03:00Z
45131.6540273666,2022-04-01T09:04:00Z
45129.1290322581,2022-04-01T09:04:00Z
45119.4765625576,2022-04-01T09:05:00Z
45109.7888425355,2022-04-01T09:06:00Z
45112,2022-04-01T09:06:00Z
45107.2761904599,2022-04-01T09:07:00Z
45112,2022-04-01T09:07:00Z
45127.4168880793,2022-04-01T09:08:00Z
45132.775512828,2022-04-01T09:09:00Z
45152,2022-04-01T09:09:00Z
45167.0639210225,2022-04-01T09:10:00Z
45207.6052015792,2022-04-01T09:10:00Z
45189.0424646093,2022-04-01T09:11:00Z
45216.257163769,2022-04-01T09:12:00Z
45212.2483282667,2022-04-01T09:13:00Z
45198.277100251,2022-04-01T09:14:00Z
45167.9929641559,2022-04-01T09:15:00Z
45175,2022-04-01T09:15:00Z
45170.2294008351,2022-04-01T09:16:00Z
45142.54024119,2022-04-01T09:17:00Z
45140,2022-04-01T09:17:00Z
45111.8961401409,2022-04-01T09:18:00Z
45101,2022-04-01T09:18:00Z
45102.9066823221,2022-04-01T09:19:00Z
45106,2022-04-01T09:19:00Z
45101.0180978615,2022-04-01T09:20:00Z
45091.4956377233,2022-04-01T09:20:00Z
45117.0401963953,2022-04-01T09:21:00Z
45103,2022-04-01T09:21:00Z
45190.7098293447,2022-04-01T09:22:00Z
45192.0640691333,2022-04-01T09:22:00Z
45170.1001996659,2022-04-01T09:22:00Z
45178.6282254346,2022-04-01T09:23:00Z
45188,2022-04-01T09:23:00Z
45164.406779661,2022-04-01T09:23:00Z
45188.3167666084,2022-04-01T09:24:00Z
45200.4603709949,2022-04-01T09:24:00Z
45207.4493180029,2022-04-01T09:25:00Z
45231.412982092,2022-04-01T09:26:00Z
45223.2336142322,2022-04-01T09:26:00Z
45244.7396475028,2022-04-01T09:27:00Z
45239.4284321145,2022-04-01T09:28:00Z
45229.5517241379,2022-04-01T09:28:00Z
45233.5097268565,2022-04-01T09:29:00Z
45254.5744142077,2022-04-01T09:30:00Z
45236.1390773709,2022-04-01T09:31:00Z
45181.7125247894,2022-04-01T09:32:00Z
45175.7,2022-04-01T09:32:00Z
45171.0352321341,2022-04-01T09:33:00Z
45179,2022-04-01T09:33:00Z
45168.3906933638,2022-04-01T09:34:00Z
45176.996861776,2022-04-01T09:35:00Z
45180.5555555556,2022-04-01T09:35:00Z
45194.315265069,2022-04-01T09:36:00Z
45195.1779234297,2022-04-01T09:37:00Z
45172,2022-04-01T09:37:00Z
45179.5672421247,2022-04-01T09:38:00Z
45139.7174175738,2022-04-01T09:39:00Z
45164,2022-04-01T09:39:00Z
45126.3204449592,2022-04-01T09:40:00Z
45150.7,2022-04-01T09:40:00Z
45136.601693799,2022-04-01T09:41:00Z
45122.1098300174,2022-04-01T09:42:00Z
45132,2022-04-01T09:42:00Z
45118,2022-04-01T09:42:00Z
45117.1327578278,2022-04-01T09:43:00Z
45079.6359237716,2022-04-01T09:44:00Z
45067,2022-04-01T09:44:00Z
45083.3146248777,2022-04-01T09:45:00Z
45076.1736568841,2022-04-01T09:46:00Z
45041.7242358108,2022-04-01T09:47:00Z
45036.1645651871,2022-04-01T09:48:00Z
45024.4139534884,2022-04-01T09:48:00Z
45119.5875622411,2022-04-01T09:49:00Z
45082,2022-04-01T09:49:00Z
45154,2022-04-01T09:49:00Z
45167.0526896223,2022-04-01T09:50:00Z
45132.3333726722,2022-04-01T09:51:00Z
45115.4532393876,2022-04-01T09:52:00Z
45124.564432036,2022-04-01T09:53:00Z
45128.6317720909,2022-04-01T09:54:00Z
45130.0385493755,2022-04-01T09:55:00Z
45130,2022-04-01T09:55:00Z
45115.2639794443,2022-04-01T09:56:00Z
45126,2022-04-01T09:56:00Z
45085.5325289885,2022-04-01T09:57:00Z
45110.6865636934,2022-04-01T09:58:00Z
45094,2022-04-01T09:58:00Z
45094.0468381068,2022-04-01T09:59:00Z
45109.3072792295,2022-04-01T10:00:00Z
45122.4330631457,2022-04-01T10:01:00Z
45149.0833333333,2022-04-01T10:01:00Z
45069.7628689464,2022-04-01T10:02:00Z
45087.7,2022-04-01T10:02:00Z
45066.6170445396,2022-04-01T10:03:00Z
45071.9,2022-04-01T10:03:00Z
45059.3965892684,2022-04-01T10:04:00Z
45064.4,2022-04-01T10:04:00Z
45108.49996037,2022-04-01T10:05:00Z
45118.5509228551,2022-04-01T10:06:00Z
45107,2022-04-01T10:06:00Z
45118.4379496407,2022-04-01T10:07:00Z
45121.8267201314,2022-04-01T10:08:00Z
45139.239675324,2022-04-01T10:09:00Z
45127,2022-04-01T10:09:00Z
45128.9341210712,2022-04-01T10:10:00Z
45129.9048686263,2022-04-01T10:11:00Z
45139.2300493347,2022-04-01T10:12:00Z
45145,2022-04-01T10:12:00Z
45134.668181639,2022-04-01T10:13:00Z
45139.0409816355,2022-04-01T10:14:00Z
45129.8408410885,2022-04-01T10:15:00Z
45082.0586587239,2022-04-01T10:16:00Z
45075.3815824839,2022-04-01T10:17:00Z
45101.2978883783,2022-04-01T10:18:00Z
45122.0089360639,2022-04-01T10:19:00Z
45117.3125341705,2022-04-01T10:20:00Z
45105,2022-04-01T10:20:00Z
45134.5985126263,2022-04-01T10:21:00Z
45138.9476925986,2022-04-01T10:22:00Z
45132,2022-04-01T10:22:00Z
45135.4923955506,2022-04-01T10:23:00Z
45119,2022-04-01T10:23:00Z
45150.2771139803,2022-04-01T10:24:00Z
45163.8419224332,2022-04-01T10:25:00Z
45146,2022-04-01T10:25:00Z
45160.1691658918,2022-04-01T10:26:00Z
45164.8932622265,2022-04-01T10:27:00Z
45154.6790688496,2022-04-01T10:28:00Z
45142.0476103651,2022-04-01T10:29:00Z
45153.4482062886,2022-04-01T10:30:00Z
45171,2022-04-01T10:30:00Z
45139.0232899181,2022-04-01T10:31:00Z
45147.0417158245,2022-04-01T10:32:00Z
45122.3606952467,2022-04-01T10:33:00Z
45118.2916525613,2022-04-01T10:34:00Z
45110,2022-04-01T10:34:00Z
45154.8233951622,2022-04-01T10:35:00Z
45129,2022-04-01T10:35:00Z
