run,rnn_units,step,batch_size,learning_rate,dropout,test_loss,train_loss,training_loss,ratio,error_neg,error_pos
0,-,-,-,-,-,0.0005856613861396909,0.003898484632372856,0.003898484632372856,0.15023,-0.0166092,0.01959731
1,-,-,-,-,-,0.0005229383823461831,0.005932532716542482,0.005932532716542482,0.08815,-0.01231853,0.01572286
2,-,-,-,-,-,0.0009656684705987573,0.002753758104518056,0.002753758104518056,0.35067,-0.01074794,0.02489391
3,-,-,-,-,-,0.0009080478339456022,0.004961279220879078,0.004961279220879078,0.18303,-0.01096192,0.02414987
4,-,-,-,-,-,0.0021042749285697937,0.0030666913371533155,0.0030666913371533155,0.68617,-0.04655459,0.01494486
5,-,-,-,-,-,0.00044485076796263456,0.004112011753022671,0.004112011753022671,0.10818,-0.0189395,0.0133244
6,-,-,-,-,-,0.00047559852828271687,0.003933507017791271,0.003933507017791271,0.12091,-0.01239818,0.01473744
7,-,-,-,-,-,0.0006874327082186937,0.006460470613092184,0.006460470613092184,0.10641,-0.01903233,0.02053867
8,-,-,-,-,-,0.0007108256104402244,0.003443255089223385,0.003443255089223385,0.20644,-0.02568194,0.01262682
9,-,-,-,-,-,0.0005470224423334002,0.005658401176333427,0.005658401176333427,0.09667,-0.01230111,0.01687632
10,-,-,-,-,-,0.0005532720824703574,0.002758587943390012,0.002758587943390012,0.20056,-0.0134827,0.01830659
11,-,-,-,-,-,0.00041033781599253416,0.005117675289511681,0.005117675289511681,0.08018,-0.01897547,0.01264043
12,-,-,-,-,-,0.0009528497466817498,0.0033290106803178787,0.0033290106803178787,0.28623,-0.02161259,0.02937557
13,-,-,-,-,-,0.000879933824762702,0.006669505033642054,0.006669505033642054,0.13193,-0.03460349,0.02119733
14,-,-,-,-,-,0.001173803466372192,0.0032331172842532396,0.0032331172842532396,0.36306,-0.02191051,0.03464354
15,-,-,-,-,-,0.0012059740256518126,0.005072273313999176,0.005072273313999176,0.23776,-0.04129466,0.02181916
16,-,-,-,-,-,0.00045006006257608533,0.0029567626770585775,0.0029567626770585775,0.15221,-0.03014627,0.0228129
17,-,-,-,-,-,0.0008220633608289063,0.004174897447228432,0.004174897447228432,0.19691,-0.02276819,0.02909694
18,-,-,-,-,-,0.0006166640087030828,0.0039004269056022167,0.0039004269056022167,0.1581,-0.02385041,0.02299457
19,-,-,-,-,-,0.0006147469975985587,0.006581501569598913,0.006581501569598913,0.09341,-0.02684844,0.02353228
20,-,-,-,-,-,0.0005388304707594216,0.0030280202627182007,0.0030280202627182007,0.17795,-0.0256308,0.02350538
21,-,-,-,-,-,0.00047601028927601874,0.006151820532977581,0.006151820532977581,0.07738,-0.02633019,0.02277139
22,-,-,-,-,-,0.0009659591596573591,0.003284919774159789,0.003284919774159789,0.29406,-0.03805014,0.0214094
23,-,-,-,-,-,0.0011345348320901394,0.005317544098943472,0.005317544098943472,0.21336,-0.04067551,0.02250627
24,-,-,-,-,-,0.0006235121982172132,0.003621503943577409,0.003621503943577409,0.17217,-0.03354897,0.0317476
25,-,-,-,-,-,0.000507619115523994,0.006027042865753174,0.006027042865753174,0.08422,-0.03612993,0.02799598
